FrameNumber	ObjectNumber	FishCount	Xlocation	Ylocation
				
1	1	1	84.56097561	29.06033376
				
1	2	2	42.90368272	35.5368272
				
1	3	1	205.4601665	41.4470868
				
1	4	2	256.3646677	42.98865478
				
1	5	2	485.5946502	52.92592593
				
1	6	1	409.1032172	49.34182306
				
1	7	1	117.7715674	54.9744836
				
1	8	0	440.5503979	57.92175066
				
1	9	3	234.947417	71.62730627
				
1	10	2	78.06709677	80.30322581
				
1	11	1	143.5743652	80.04474002
				
1	12	1	188.0938547	82.48603352
				
1	13	2	459.291958	82.37674825
				
1	14	0	401.7343137	94.78529412
				
1	15	3	432.9486631	107.8192513
				
1	16	2	228.0009083	111.102634
				
1	17	1	40.66666667	117.2671958
				
1	18	3	171.706621	120.2305936
				
1	19	2	116.6662011	122.547486
				
1	20	1	374.6277245	129.9799477
				
1	21	2	459.6405733	131.6383682
				
1	22	1	75.39253539	135.7554698
				
1	23	2	413.3151951	138.1622177
				
1	24	1	210.8860265	147.7361436
				
1	25	1	156.140527	157.1882058
				
1	26	1	341.3379215	160.5918789
				
1	27	2	30.67852063	165.3243243
				
1	28	2	464.816092	166.0862069
				
1	29	2	421.8967391	167.7146739
				
1	30	2	88.64564565	172.4204204
				
1	31	2	248.46875	172.3232759
				
1	32	1	386.395122	179.6673171
				
1	33	2	116.5583832	187.6257485
				
1	34	2	201.8533835	190.6293233
				
1	35	2	450.6983696	200.4818841
				
1	36	0	386.4919786	203.6229947
				
1	37	1	44.21001391	202.9499305
				
1	38	1	151.1864608	207.2885986
				
1	39	1	257.5910878	215.8519004
				
1	40	1	363.165479	217.7608868
				
1	41	2	422.5710974	220.0131376
				
1	42	1	190.2454106	229.3835749
				
1	43	2	68.38161209	231.5012594
				
2	1	3	173.7192354	21.21505376
				
2	2	1	84.38440111	28.01532033
				
2	3	2	42.24663073	33.79380054
				
2	4	1	207.1223815	41.26901874
				
2	5	1	256.6932084	40.95003903
				
2	6	2	375.6285714	51.80846561
				
2	7	2	411.5039769	50.00867679
				
2	8	2	488.9369458	52.95960591
				
2	9	2	118.190411	56.47945205
				
2	10	1	442.1800518	58.47797927
				
2	11	2	233.3591837	70.26836735
				
2	12	2	145.4011834	79.60591716
				
2	13	2	466.4760845	82.17908788
				
2	14	2	17.24538259	79.8469657
				
2	15	2	78.87123288	79.8890411
				
2	16	2	187.8562802	81.88647343
				
2	17	1	364.3372365	90.30132709
				
2	18	1	403.4695971	91.55750916
				
2	19	2	432.7865044	106.6681416
				
2	20	2	227.69207	113.1338826
				
2	21	1	41.48108108	115.7054054
				
2	22	1	266.4279428	115.8063806
				
2	23	1	306.7913961	121.0487013
				
2	24	2	171.485426	119.57287
				
2	25	2	115.9339378	124.484456
				
2	26	0	329.4010989	127.2582418
				
2	27	1	378.3036707	127.2502781
				
2	28	2	459.8880829	128.0290155
				
2	29	1	75.61776581	134.526245
				
2	30	2	413.1271605	140.154321
				
2	31	1	345.4033877	134.3237139
				
2	32	1	209.8627649	150.2250252
				
2	33	2	282.2020513	151.0625641
				
2	34	1	154.7198661	157.5803571
				
2	35	1	29.99562682	163.1793003
				
2	36	2	346.9069494	168.0482921
				
2	37	2	467.3146274	165.9346826
				
2	38	1	420.3040816	168.0428571
				
2	39	2	87.64798851	173.1106322
				
2	40	2	245.6064516	175.7225806
				
2	41	2	299.7850467	182.1993769
				
2	42	2	388.9207221	183.0565149
				
2	43	2	115.8249641	185.8967001
				
2	44	2	198.5934183	185.6369427
				
2	45	2	332.1137993	200.6164875
				
2	46	2	450.7915905	200.1745887
				
2	47	1	43.59030837	202.8531571
				
2	48	1	150.1018405	207.2478528
				
2	49	1	366.5061511	214.5492091
				
2	50	2	266.173542	214.0007112
				
2	51	2	187.3564815	229.3703704
				
2	52	2	67.52631579	231.0075188
				
3	1	1	84.09567497	28.41153342
				
3	2	3	43.88378766	33.67575323
				
3	3	1	312.2495108	41.95988258
				
3	4	1	204.3893215	42.42157953
				
3	5	3	257.9617438	40.54448399
				
3	6	2	374.8012889	51.78732546
				
3	7	2	489.4210526	50.89157895
				
3	8	2	408.6165884	49.01877934
				
3	9	2	444.046748	55.56300813
				
3	10	2	117.2521212	57.30424242
				
3	11	2	235.7565725	69.76728335
				
3	12	1	281.7721239	75.60693215
				
3	13	0	431.8064516	78.6655348
				
3	14	2	78.24685139	79.06297229
				
3	15	3	144.7997602	80.50719424
				
3	16	2	188.0632911	83.36919831
				
3	17	2	468.9382716	82.7037037
				
3	18	0	300.33	94.35333333
				
3	19	1	368.1148545	88.21286371
				
3	20	1	328.5879121	82.93681319
				
3	21	1	404.1985112	97.00124069
				
3	22	2	433.2346003	110.7287025
				
3	23	3	227.3292776	110.1589354
				
3	24	1	43.63018868	113.6012579
				
3	25	2	265.75	116.0248963
				
3	26	1	304.7153589	125.3038397
				
3	27	2	172.7089041	119.9098174
				
3	28	2	117.9705128	124.375641
				
3	29	2	338.3412698	123.2278912
				
3	30	2	378.2016632	127.487526
				
3	31	2	459.1861702	129.0861702
				
3	32	2	76.16057441	134.4412533
				
3	33	0	354.5811966	140.3974359
				
3	34	2	413.1880878	140.7680251
				
3	35	2	281.347876	150.673938
				
3	36	2	212.8605341	150.4599407
				
3	37	1	158.0565584	156.654633
				
3	38	2	31.14616498	161.8075253
				
3	39	1	346.5577586	164.2577586
				
3	40	1	421.3817701	169.4359313
				
3	41	2	87.62739726	173.2561644
				
3	42	2	246.0647059	174.2504202
				
3	43	2	300.2368794	179.8148936
				
3	44	2	389.9672131	180.7181889
				
3	45	2	115.5755968	184.9005305
				
3	46	2	199.01983	186.7554297
				
3	47	2	452.2787611	204.2057522
				
3	48	1	44.41350211	201.8691983
				
3	49	2	330.5587566	200.727066
				
3	50	2	148.5618247	207.7695078
				
3	51	1	364.6518868	214.3858491
				
3	52	2	266.2815094	213.2075472
				
3	53	2	425.3888889	219.8611111
				
3	54	2	188.3138122	227
				
3	55	2	67.23369565	232.1589674
				
4	1	2	84.39719029	27.78544061
				
4	2	2	43.8028169	35.22023047
				
4	3	2	256.5978428	38.53312789
				
4	4	1	205.4326711	40.75055188
				
4	5	1	313.3363229	41.41524664
				
4	6	2	490.9423299	51.46482122
				
4	7	2	373.9213894	50.94241316
				
4	8	2	409.7601476	45.77675277
				
4	9	2	116.8947368	56.44063647
				
4	10	2	236.28125	68.6640625
				
4	11	2	449.0432781	64.70073665
				
4	12	2	18.42721088	77.58503401
				
4	13	1	282.3747054	74.58915947
				
4	14	2	80.1589404	79.69006623
				
4	15	2	145.4644195	79.16229713
				
4	16	2	471.3337143	84.456
				
4	17	2	187.8829465	82.22704339
				
4	18	2	367.0698066	89.66105971
				
4	19	1	407.2079408	88.67160162
				
4	20	2	436.6289453	111.1755196
				
4	21	2	227.8070045	108.609538
				
4	22	1	41.99247177	113.587202
				
4	23	2	265.7170356	115.8094321
				
4	24	2	171.4884569	119.1956258
				
4	25	2	118.3293333	125.1986667
				
4	26	2	379.2311266	126.873403
				
4	27	2	463.4222002	127.9593657
				
4	28	2	76.31830601	132.6297814
				
4	29	2	410.7170385	142.9056795
				
4	30	2	211.4185366	147.244878
				
4	31	2	285.4671848	147.5578584
				
