Frame Number	X Location	Y Location	Integrated Intensity of Spot	Parent_Nuclei
				
1	91.5	37.5	3.972549111	1
				
1	252.1666667	37.88888889	6.384313896	4
				
1	46	42	8.066666856	2
				
1	489.6206897	46.4137931	11.05882381	5
				
1	200.0909091	48.09090909	8.015686393	3
				
1	45.35294118	48.82352941	5.839215845	2
				
1	412.0961538	56.32692308	20.9764711	6
				
1	267.875	58.125	2.580392271	4
				
1	496.8	58	3.623529509	5
				
1	121.5	60.33333333	4.305882454	7
				
1	140.5517241	68.5862069	11.129412	11
				
1	238.5	69.11538462	10.58431402	9
				
1	213.9090909	71.36363636	3.741176635	9
				
1	76.125	74.125	2.941176534	10
				
1	236.3	75.85	8.043137446	9
				
1	75.63636364	77.09090909	3.639215797	10
				
1	454.25	83.75	7.580392361	13
				
1	193.8571429	87.07142857	4.745098203	12
				
1	474.2083333	86.75	9.258823752	13
				
1	429.2	101	3.749019712	15
				
1	441.1538462	108.9230769	4.694117799	15
				
1	226.1176471	111.4117647	6.376470774	16
				
1	168	114	2.960784391	18
				
1	45.5	115	3.309804022	17
				
1	111.4375	118.75	5.494117737	19
				
1	458.25	120.05	7.64313744	21
				
1	226.3333333	121.25	4.431372702	16
				
1	432.8888889	122.3333333	2.992156923	15
				
1	112.6	124.96	9.380392388	19
				
1	177.1818182	126.1818182	4.325490341	18
				
1	451.08	131.08	9.043137521	21
				
1	75.23529412	133.7058824	5.737255037	22
				
1	376.5	135	7.050980538	20
				
1	407.3333333	136.125	8.7882355	23
				
1	169.875	142.875	2.921568722	18
				
1	415.5	148.5	5.368627578	23
				
1	472.5	157.2857143	5.309804082	28
				
1	203.1176471	159.4117647	5.862745211	24
				
1	429.875	158.875	2.427451044	29
				
1	421.1818182	161.1818182	4.172549129	29
				
1	25.1	164.05	8.203921735	27
				
1	349	166.5	6.690196291	26
				
1	80.25	167.5625	6.141176686	30
				
1	151.5	167.6785714	11.34117673	25
				
1	18.81818182	171.4545455	3.517647147	27
				
1	473.8571429	170.8095238	7.603921756	28
				
1	239.8461538	172.4615385	5.141176641	31
				
1	258.25	172.85	7.882353202	31
				
1	95.54545455	176.7727273	8.462745264	30
				
1	206.5652174	177.9130435	9.078431621	34
				
1	118.5	186.2	3.541176543	33
				
1	110.3809524	186.952381	8.235294253	33
				
1	205.7	189.7	3.576470673	34
				
1	387.4615385	189.9230769	4.41176483	32
				
1	451.3846154	189.6153846	4.427451119	35
				
1	458.7647059	200.8529412	14.94509842	35
				
1	39.38461538	203.3846154	4.203921705	37
				
1	148.875	204.875	2.756862819	38
				
1	258.5	209.8	3.784313828	39
				
1	428.6153846	218.0769231	4.631372675	41
				
1	364	224.826087	9.325490415	40
				
1	420.5	227	4.59607856	41
				
1	75.36842105	233.4736842	6.890196264	43
				
1	194	234.5	5.282353088	42
				
1	68.39130435	241.9565217	8.52156882	43
				
2	171.8333333	26.72222222	7.286274672	1
				
2	172.875	30.125	6.0823531	1
				
2	174.625	32.375	6.941176593	1
				
2	91	37	3.329411864	2
				
2	44.29032258	39.03225806	12.42352973	3
				
2	252.1578947	38.84210526	7.145098224	5
				
2	489.483871	45.22580645	12.39607869	8
				
2	44.94444444	47.11111111	6.54509826	3
				
2	199.7777778	48.44444444	14.43529448	4
				
2	378.1	52.3	7.74117665	6
				
2	412.71875	54.65625	13.08627479	7
				
2	498.5625	55.375	5.674509898	8
				
2	452	55.5	2.79215692	10
				
2	375	57.05555556	6.807843283	6
				
2	417	57.18181818	9.431372762	7
				
2	111.5	58.8	3.286274597	9
				
2	123.3846154	60.38461538	4.698039308	9
				
2	139.6969697	67.93939394	13.76470619	12
				
2	77.8	70.44	9.349019825	15
				
2	240.04	70.4	10.34901986	11
				
2	16.15789474	73.84210526	7.250980675	14
				
2	75.8	77.33333333	5.050980493	15
				
2	236.2173913	77.08695652	9.286274731	11
				
2	140.1111111	77.66666667	3.294117764	12
				
2	361.65625	79.3125	15.36862776	17
				
2	459.5	82.71428571	5.403921738	13
				
2	14.4375	85.75	6.18039234	14
				
2	477.7419355	86.64516129	12.76078458	13
				
2	193.8461538	86.46153846	4.729411885	16
				
2	178.3809524	91.14285714	7.231372714	16
				
2	410.3181818	91.36363636	7.77647081	18
				
2	428	99.83333333	8.7882355	19
				
2	441.1176471	106.4117647	6.905882537	19
				
2	272.125	108.125	2.588235363	22
				
2	226	111	5.443137378	20
				
2	44	113.2	3.662745178	21
				
2	298.0909091	115.0909091	8.992157117	23
				
2	167.8823529	115.5882353	5.666666791	24
				
2	459.125	119.9583333	9.415686503	28
				
2	111.1	120.95	7.580392331	25
				
2	227	120.3333333	6.658823639	20
				
2	176.4782609	125.0434783	9.317647278	24
				
2	344.2222222	126.0555556	6.874509931	31
				
2	111.65625	126.53125	13.39215717	25
				
2	449.3333333	127.125	9.733333588	28
				
2	75.5	131	9.627451196	29
				
2	376.3461538	134.7307692	10.90980417	27
				
2	407.7272727	137.5	8.929411933	30
				
2	283.7777778	146.5	7.56862767	33
				
2	415.6538462	148.3461538	10.61568657	30
				
2	471.4117647	153.8823529	6.647058979	37
				
2	279.6666667	158.1111111	3.082353055	33
				
2	202.8421053	159.1578947	7.164706081	32
				
2	24.09090909	161.0909091	8.105882585	35
				
2	420.5454545	162.1363636	8.058823779	38
				
2	350.8181818	164.0909091	3.960784405	36
				
2	348.4444444	164.7777778	3.200000122	36
				
2	79.65625	166.71875	12.58431402	39
				
2	149.5757576	168.3030303	15.13333364	34
				
2	475.2758621	168.3448276	11.85882381	37
				
2	314.2	171.3	3.478431478	41
				
2	240.483871	172.9677419	12.48235326	40
				
2	258.9259259	174.4074074	10.70196107	40
				
2	206.5925926	177.9259259	10.64705905	44
				
